Taxon	Abundance	Acellular_root	Phylum	Class	Order	Family	Genus	Species
10298	100000	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus humanalpha1
10359	100000	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus humanbeta5
10376	100000	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Lymphocryptovirus	Lymphocryptovirus humangamma4
10598	100000	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 9
10632	100000	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis
10736	100000	Viruses	Uroviricota	Caudoviricetes	Unclassified	Unclassified	Spbetavirus	Bacillus phage phi3T
10760	100000	Viruses	Uroviricota	Caudoviricetes	Autographivirales	Autotranscriptaviridae	Teseptimavirus	Teseptimavirus T7
112229	100000	Viruses	Kitrinoviricota	Alsuviricetes	Tymovirales	Alphaflexiviridae	Potexvirus	Potexvirus pepini
11676	100000	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Lentivirus humimdef1
12022	100000	Viruses	Lenarviricota	Leviviricetes	Norzivirales	Fiersviridae	Emesvirus	Emesvirus zinderi
12118	100000	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Aphthovirus	Aphthovirus vesiculae
122929	100000	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norovirus norwalkense
129951	100000	Viruses	Preplasmiviricota	Pharingeaviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Mastadenovirus caesari
1837850	96134	Viruses	Uroviricota	Caudoviricetes	Unclassified	Schitoviridae	Litunavirus	Litunavirus Ab09
1891762	100000	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus hominis
1977402	100000	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Inovirus	Inovirus M13
223347	100000	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumdelhiense
2571074	2461	Viruses	Cressdnaviricota	Arfiviricetes	Recrevirales	Redondoviridae	Torbevirus	Torbevirus viento
2571085	2461	Viruses	Cressdnaviricota	Arfiviricetes	Recrevirales	Redondoviridae	Torbevirus	Torbevirus viento
281492	100000	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Dependoparvovirus avian1
2928686	100000	Viruses	Duplornaviricota	Vidaverviricetes	Mindivirales	Cystoviridae	Orthocystovirus	Orthocystovirus phi6
645687	100000	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus virginiaense
68887	100000	Viruses	Commensaviricota	Cardeaviricetes	Sanitavirales	Anelloviridae	Unclassified	Torque teno virus
85708	100000	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Circovirus porcine2
